order_time,order_id,order_date,allot_time,accept_time,pickup_time,delivered_time,rider_id,first_mile_distance,last_mile_distance,alloted_orders,delivered_orders,cancelled,lifetime_order_count,session_time,cancelled_time,reason_text,total_distance,cancel_after_pickup,to_remove
2021-01-26 03:54:11,556853,2021-01-26,2021-01-26 05:29:06,2021-01-26 05:30:01,,,2391,2.9217,5.2,118.0,0.0,1,860.0,22.516666666666666,2021-01-26 05:45:51,Cancel order due to bike issue,8.1217,0,False
2021-01-26 04:39:16,557048,2021-01-26,2021-01-26 04:39:50,2021-01-26 04:40:02,,,2373,1.6053,4.84,104.0,0.0,1,3282.0,9.833333333333334,2021-01-26 04:40:46,Cancel order due to bike issue,6.4453,0,False
2021-01-26 05:16:17,557302,2021-01-26,2021-01-26 05:24:26,2021-01-26 05:24:52,2021-01-26 05:49:19,2021-01-26 06:21:41,16038,1.7177,4.06,70.0,0.0,1,168.0,,2021-01-26 06:21:41,Cancel order due to bike issue,5.777699999999999,0,False
2021-01-26 05:29:18,557404,2021-01-26,2021-01-26 05:37:56,2021-01-26 05:40:42,,,8458,2.4691,1.05,8.0,0.0,1,41.0,24.55,2021-01-26 06:15:56,Cancel order due to bike issue,3.5191,0,False
2021-01-26 05:58:16,557611,2021-01-26,2021-01-26 06:32:44,2021-01-26 06:39:06,,,2582,1.9509,1.04,124.0,0.0,1,3080.0,,2021-01-26 06:39:43,Cancel order due to bike issue,2.9909,0,False
2021-01-26 05:59:14,557626,2021-01-26,2021-01-26 06:08:32,2021-01-26 06:08:43,2021-01-26 06:17:42,2021-01-26 06:20:14,3065,0.00589975330918,0.27,23.0,0.0,1,2923.0,14.966666666666669,2021-01-26 06:20:14,Cancel order due to bike issue,0.27589975330918,0,False
2021-01-26 06:01:43,557646,2021-01-26,2021-01-26 06:08:06,2021-01-26 06:09:09,2021-01-26 06:26:14,2021-01-26 06:46:48,16026,2.2366,2.82,,0.0,1,4771.0,86.33333333333333,2021-01-26 06:46:48,Cancel order due to bike issue,5.0566,0,False
2021-01-26 06:31:02,558027,2021-01-26,2021-01-26 06:47:45,2021-01-26 06:47:51,2021-01-26 06:53:37,2021-01-26 06:58:45,21087,2.5863,1.55,16.0,0.0,1,625.0,50.78333333333333,2021-01-26 06:58:45,Cancel order due to bike issue,4.1363,0,False
2021-01-26 06:31:28,558071,2021-01-26,2021-01-26 06:46:34,2021-01-26 06:47:16,2021-01-26 07:08:00,2021-01-26 07:29:54,15049,2.6759,6.48,147.0,0.0,1,1320.0,139.55,2021-01-26 07:29:54,Cancel order due to bike issue,9.1559,0,False
2021-01-26 06:32:13,558153,2021-01-26,2021-01-26 06:47:20,2021-01-26 06:48:03,2021-01-26 07:05:34,2021-01-26 07:22:55,18580,2.203,4.71,51.0,0.0,1,564.0,10.6,2021-01-26 07:22:55,Cancel order due to bike issue,6.913,0,False
